Délégation,Abandon primaire %,Abandon secondaire %,Abandon primaire et secondaire %,Taux de pauvreté,Gouvernorat
BORJ EL AMRI,0.2,10.7,4.4,12.1,Manouba
JEDAIDA,0.2,5.8,2.4,11.9,Manouba
DAOUAR HICHER,0.1,7.0,3.3,10.8,Manouba
OUED ELLIL,0.2,5.5,2.5,8.2,Manouba
MORNAGUIA,0.2,6.0,2.9,7.8,Manouba
MANOUBA,0.1,8.2,4.7,3.8,Manouba
TAKELSA,0.3,5.8,5.9,19.1,Nabeul
HAMMAM GHEZAZ,0.1,6.2,2.9,16.0,Nabeul
ELMIDA,0.5,6.9,3.6,11.7,Nabeul
HAOUARIA,0.3,6.7,5.0,11.0,Nabeul
KELIBIA,0.2,7.1,3.3,10.9,Nabeul
MENZEL TEMIME,0.5,8.5,2.6,10.2,Nabeul
BOUARGOUB,0.3,8.1,0.3,8.6,Nabeul
SLIMANE,0.2,9.5,2.3,7.8,Nabeul
KORBA,0.4,7.9,3.2,7.7,Nabeul
MENZEL BOUZELFA,0.2,8.4,3.0,7.1,Nabeul
BENI KHALLED,0.3,7.6,1.7,6.4,Nabeul
GROMBALIA,0.3,8.9,0.3,6.3,Nabeul
HAMMAMET,0.3,7.8,0.3,5.9,Nabeul
BENI KHIAR,0.3,5.8,0.3,5.8,Nabeul
DAR CHAABANE,0.3,5.8,4.6,4.9,Nabeul
NABEUL,0.3,7.1,1.5,4.7,Nabeul
ENNADHOUR,0.5,7.4,3.5,22.5,Zagouan
SAOUAF,0.2,9.0,3.4,19.5,Zagouan
BIR MCHARGA,0.2,9.4,3.6,15.8,Zagouan
ZRIBA,0.3,5.2,2.2,13.0,Zagouan
EL FAHS,0.2,5.4,2.5,12.5,Zagouan
ZAGHOUAN,0.3,7.4,3.7,7.2,Zagouan
SEJNANE,0.4,8.5,3.9,39.9,Bizerte
JOUMINE,0.3,10.9,4.8,36.6,Bizerte
GHAZALA,0.2,7.7,3.2,34.0,Bizerte
MATEUR,0.1,5.2,2.6,19.3,Bizerte
UTIQUE,0.2,7.3,2.7,19.1,Bizerte
BIZERTE SUD,0.3,4.4,1.7,15.9,Bizerte
EL ALIA,0.5,7.7,3.4,15.1,Bizerte
GHAR EL MELH,0.7,8.6,3.6,14.5,Bizerte
MENZEL BOURGUIBA,0.3,7.4,3.9,12.8,Bizerte
RAS JEBEL,0.2,7.1,3.4,12.2,Bizerte
TINJA,0.1,4.3,2.1,11.3,Bizerte
ZARZOUNA,0.2,3.8,1.3,10.9,Bizerte
MENZEL JEMIL,0.2,7.4,3.8,10.6,Bizerte
BIZERTE NORD,0.2,6.5,3.7,5.3,Bizerte
AMDOUN,0.5,7.3,3.4,37.6,Beja
NEFZA,0.5,7.5,3.8,37.5,Beja
GOUBELLATE,0.6,11.1,5.0,36.9,Beja
TEBOURSOUK,0.1,7.6,3.5,27.3,Beja
THIBAR,0.4,7.0,3.1,25.8,Beja
TESTOUR,0.3,6.4,2.9,25.5,Beja
BEJA NORD,0.1,6.5,2.4,23.0,Beja
BEJA SUD,0.1,7.0,4.5,18.5,Beja
MEJEZ EL BAB,0.5,5.5,2.6,17.1,Beja
FERNANA,1.1,7.7,3.8,36.9,Jandouba
AIN DRAHAM,0.4,8.3,4.4,27.2,Jandouba
GHARDIMAOU,0.8,10.6,5.1,24.8,Jandouba
BALTA BOUAOUENE,0.6,5.4,3.3,23.1,Jandouba
OUED MLIZ,0.7,9.9,4.8,21.0,Jandouba
JENDOUBA NORD,0.3,10.6,5.0,19.6,Jandouba
TABARKA,0.2,6.5,3.2,16.7,Jandouba
BOU SALEM,0.3,8.1,3.4,16.6,Jandouba
JENDOUBA SUD,0.3,7.7,4.2,10.7,Jandouba
NEBEUR,0.7,9.6,3.4,45.4,Kef
SAKIET SIDI YOUSSEF,0.4,8.2,5.3,39.7,Kef
DAHMANI,1.0,7.7,3.0,38.4,Kef
TAJEROUINE,0.4,8.6,1.4,37.7,Kef
EL KSOUR,0.5,6.7,5.5,37.1,Kef
KALAÂ KHASBA,0.4,5.4,6.0,35.3,Kef
LE SERS,0.4,9.4,5.7,34.4,Kef
KALAAT SENAN,0.1,9.2,1.7,32.8,Kef
JERISSA,0.3,4.3,5.7,31.9,Kef
EL KEF EST,0.2,6.2,3.1,24.6,Kef
EL KEF OUEST,0.2,8.5,4.4,21.9,Kef
ROUHIA,1.2,7.3,2.7,40.7,Seliana
KESRA,0.4,5.1,4.5,32.2,Seliana
MAKTHAR,0.7,9.1,3.3,26.5,Seliana
AROUSSA,0.8,10.3,4.9,25.2,Seliana
GAAFOUR,0.3,7.2,4.7,24.4,Seliana
BARGOU,0.0,5.9,2.8,24.4,Seliana
BOUROUIS,0.8,8.7,3.1,21.8,Seliana
BOUARADA,0.2,5.1,2.9,21.8,Seliana
EL KRIB,0.2,8.0,5.4,20.0,Seliana
SILIANA SUD,0.3,4.2,2.3,19.9,Seliana
SILIANA NORD,0.1,5.2,2.4,16.8,Seliana
KONDAR,0.8,20.7,4.9,28.7,Sousse
SIDI EL HENI,1.1,13.0,4.2,27.9,Sousse
ENFIDA,0.3,8.3,4.0,23.8,Sousse
BOUFICHA,0.3,10.2,3.9,21.9,Sousse
SIDI ABDELHAMID,0.2,9.2,0.5,17.7,Sousse
ZAOUIA KSIBA THRAYET,0.5,5.8,2.3,17.3,Sousse
SIDI BOU ALI,0.6,6.1,4.1,16.5,Sousse
HERGLA,0.7,3.8,4.6,16.3,Sousse
KALAA KEBIRA,0.5,6.0,3.9,16.2,Sousse
KALAA SGHIRA,0.4,5.9,4.4,15.1,Sousse
MSAKEN,0.4,6.8,3.1,14.1,Sousse
SOUSSE RIADH,0.2,5.9,2.8,10.7,Sousse
AKOUDA,0.3,4.9,3.4,9.3,Sousse
HAMMEM SOUSSE,0.1,4.1,1.8,8.5,Sousse
SOUSSE JAWHARA,0.2,6.6,1.7,7.0,Sousse
SOUSSE EL MEDINA,0.2,7.2,3.7,5.5,Sousse
ZARAMDINE,0.3,7.4,5.3,13.1,Monastir
MOKNINE,0.5,7.3,1.5,12.1,Monastir
BENI HASSEN,0.3,2.8,3.2,10.6,Monastir
OUERDANINE,0.6,7.7,4.5,8.7,Monastir
BEKALTA,0.1,6.4,4.8,8.3,Monastir
JEMMAL,0.6,6.1,1.8,7.4,Monastir
KSAR HELLAL,0.3,6.9,3.0,6.8,Monastir
TEBOULBA,0.3,4.7,4.6,6.7,Monastir
SAHLINE,0.2,6.4,2.8,6.7,Monastir
BEMBLA,0.3,5.5,3.7,6.4,Monastir
KSIBET MEDIOUNI,0.2,5.1,0.8,5.8,Monastir
SAYADA LAMTA BOUHJAR,0.5,6.1,3.1,4.7,Monastir
MONASTIR,0.3,5.8,1.9,4.6,Monastir
CHORBANE,0.8,5.2,2.3,36.9,Mahdia
OULED CHAMEKH,1.2,7.4,5.1,35.0,Mahdia
HEBIRA,0.4,6.8,4.6,33.4,Mahdia
MELLOULECH,0.8,7.5,3.2,30.9,Mahdia
BOUMARDASS,0.8,9.0,2.7,30.1,Mahdia
ESSOUASSI,0.7,11.0,3.5,29.2,Mahdia
SIDI ALOUANE,0.8,7.8,2.6,28.9,Mahdia
EL DJEM,0.3,8.2,2.5,26.5,Mahdia
KSOUR ESSEF,0.6,5.8,4.6,22.2,Mahdia
CHEBBA,0.3,3.8,3.4,15.5,Mahdia
MAHDIA,0.4,7.6,1.1,13.3,Mahdia
BIR ALI BEN KHALIFA,1.1,6.4,2.6,17.4,Sfax
EL GHRAIBA,0.8,7.0,4.0,14.5,Sfax
SKHIRA,0.5,8.0,2.9,12.4,Sfax
MENZEL CHAKER,0.7,8.8,3.6,12.2,Sfax
HENCHA,0.6,8.2,4.6,11.8,Sfax
AGAREB,0.6,6.3,4.1,10.7,Sfax
EL MAHRES,0.3,10.9,3.9,8.9,Sfax
JEBENIANA,0.8,8.0,2.0,8.7,Sfax
EL AMERA,1.0,7.6,5.3,6.8,Sfax
TINA,0.5,4.3,1.5,6.2,Sfax
KERKENA,0.4,8.5,3.2,4.6,Sfax
SAKIET EDDAIER,0.6,6.0,2.4,3.2,Sfax
SAKIET EZZIT,0.5,4.7,1.7,3.2,Sfax
SFAX OUEST,0.3,5.1,1.9,3.0,Sfax
SFAX SUD,0.4,4.7,1.3,3.0,Sfax
SFAX Ville,0.2,4.9,2.3,2.5,Sfax
OUESLATIA,0.6,9.1,3.3,40.9,Kairouan
ALA,0.8,7.3,4.0,38.3,Kairouan
HAJEB EL AYOUN,1.3,11.4,4.3,36.6,Kairouan
SBIKHA,1.3,8.1,4.1,35.1,Kairouan
SIDI ALI BEN NASRALLAH,0.8,6.9,2.7,35.1,Kairouan
SIDI AMOR BOU HAJLA,1.5,6.9,2.4,32.7,Kairouan
HAFFOUZ,0.5,6.7,2.1,31.4,Kairouan
CHERARDA,1.0,6.3,2.9,28.0,Kairouan
CHEBIKA,0.9,7.5,3.4,24.2,Kairouan
KAIROUAN SUD,1.0,7.4,2.2,23.0,Kairouan
KAIROUAN NORD,0.4,5.0,2.3,20.8,Kairouan
HASSI FRID,3.5,25.6,7.4,53.5,Kasserine
JEDELIANE,0.5,6.1,4.7,53.1,Kasserine
EL AYOUN,1.3,17.0,2.6,50.1,Kasserine
MAJEL BEN ABBES,0.8,9.0,3.9,41.4,Kasserine
HAIDRA,0.3,8.4,8.1,39.8,Kasserine
SBIBA,1.9,9.0,5.1,37.1,Kasserine
FERIANA,0.8,9.6,4.1,36.9,Kasserine
KASSERINE SUD,1.5,8.1,4.6,34.0,Kasserine
SBITLA,1.3,9.4,3.2,33.0,Kasserine
FOUSSANA,1.4,9.9,3.5,31.5,Kasserine
TALA,0.4,7.2,1.6,30.9,Kasserine
EZZOUHOUR,1.6,9.1,10.4,27.8,Kasserine
KASSERINE NORD,0.8,7.2,1.9,18.9,Kasserine
MENZEL BOUZAYENE,0.8,12.3,6.5,39.0,Sidi Bouzid
MAZZOUNA,1.1,7.7,2.9,34.3,Sidi Bouzid
JELMA,1.1,7.7,3.4,31.4,Sidi Bouzid
SEBBALET OULED ASKER,1.5,10.5,5.9,31.2,Sidi Bouzid
SIDI ALI BEN AOUNE,1.4,7.6,5.9,31.0,Sidi Bouzid
BIR EL HAFFEY,0.8,9.3,2.7,27.4,Sidi Bouzid
REGUEB,0.7,6.7,2.7,23.7,Sidi Bouzid
MAKNASSY,0.1,4.5,3.5,23.3,Sidi Bouzid
SIDI BOUZID EST,0.7,9.6,3.7,21.8,Sidi Bouzid
OULED HAFFOUZ,0.4,7.5,4.4,21.3,Sidi Bouzid
SOUK JEDID,0.5,15.6,2.4,20.8,Sidi Bouzid
SIDI BOUZID OUEST,0.3,5.0,2.6,17.7,Sidi Bouzid
MENZEL HABIB,0.7,8.7,5.8,33.6,Gabes
MATMATA,0.7,5.1,4.9,26.4,Gabes
NOUVELLE MATMATA,0.6,8.4,4.5,23.6,Gabes
MARETH,0.2,7.2,1.5,21.2,Gabes
EL HAMMA,0.2,9.8,1.4,20.3,Gabes
GHANNOUCHE,0.3,8.5,1.7,20.0,Gabes
METOUIA,0.2,6.4,0.5,17.9,Gabes
GABES OUEST,0.1,6.5,6.0,15.0,Gabes
GABES EL MEDINA,0.2,7.6,2.6,11.1,Gabes
GABES SUD,0.2,5.6,1.9,9.4,Gabes
BENI KHEDDACHE,0.6,10.2,4.0,36.9,Médnine
SIDI MAKHLOUF,0.5,7.4,6.5,33.4,Médnine
BEN GUERDENE,0.4,9.8,1.7,23.1,Médnine
MÉDENINE SUD,0.1,5.7,2.6,20.7,Médnine
MÉDENINE NORD,0.2,8.4,5.2,18.9,Médnine
DJERBA AJIM,0.0,7.8,4.2,16.7,Médnine
ZARZIS,0.2,9.3,2.3,15.8,Médnine
DJERBA MIDOUN,0.2,6.1,1.5,11.5,Médnine
DJERBA HOUMT SOUK,0.2,5.3,2.4,9.5,Médnine
DHIBA,0.5,5.0,5.7,33.3,Tataouine
REMADA,0.5,13.2,1.4,27.4,Tataouine
TATAOUINE NORD,0.4,9.9,1.9,18.4,Tataouine
BIR LAHMAR,0.4,3.8,7.1,18.4,Tataouine
TATAOUINE SUD,0.2,9.0,1.8,17.1,Tataouine
SMAR,0.3,6.8,4.3,14.4,Tataouine
GHOMRASSEN,0.1,7.7,1.4,10.5,Tataouine
BELKHIR,0.4,7.8,6.2,31.2,Gafsa
SENED,0.4,9.3,3.6,27.2,Gafsa
GAFSA NORD,0.3,6.3,5.0,23.0,Gafsa
REDEYEF,0.2,6.8,3.7,21.1,Gafsa
OUM LAARAYES,0.2,7.8,2.8,20.5,Gafsa
GUETAR,0.2,8.5,3.0,19.8,Gafsa
MDHILA,0.1,10.0,5.3,18.7,Gafsa
ELKSAR,0.1,7.9,2.4,16.9,Gafsa
METLAOUI,0.2,6.8,3.2,16.2,Gafsa
SIDI AICHE,0.7,10.6,2.1,16.1,Gafsa
GAFSA SUD,0.3,10.0,1.8,15.4,Gafsa
HAZOUA,0.5,9.2,4.1,22.6,Tozeur
TAMAGHZA,0.0,7.2,3.8,20.5,Tozeur
DEGACHE,0.6,6.2,1.3,17.4,Tozeur
NEFTA,0.2,8.8,1.6,17.3,Tozeur
TOZEUR,0.2,7.1,1.8,10.3,Tozeur
DOUZ SUD,0.1,2.5,0.8,25.9,Kebili
FAOUAR,0.1,10.9,7.0,25.2,Kebili
SOUK LAHAD,0.1,1.6,2.7,21.7,Kebili
DOUZ NORD,0.2,1.5,4.2,20.4,Kebili
KEBILI SUD,0.3,4.7,1.4,15.8,Kebili
KEBILI NORD,0.2,1.8,1.6,12.3,Kebili
